,tag,term_types,nterms,avg_rmse,correct_count,model,nn_hyperparams,epochs,outer_iters,use_hint,numMCTSSims,depth_limit,mcts_cpuct,mcts_iters,mcts_episodes,reward
14,lvvoxkfbgu,12,2,33.51457408989109,24,GRU,"{'embed_size': 64, 'hidden_size': 64, 'num_layers': 4, 'encoder_attn': True}",20,3,False,1000,4,1,3,4,10
15,dtdbmrwlth,12,2,40.237912534694686,58,TFR,"{'embed_size': 64, 'hidden_size': 64, 'num_layers': 4, 'encoder_attn': False}",20,3,False,1000,4,1,3,4,10
16,qnaozpapxc,12,2,35.448408101777616,45,TFR,"{'embed_size': 64, 'hidden_size': 64, 'num_layers': 4, 'encoder_attn': True}",20,3,False,1000,4,1,3,4,10
17,aqmwhevqkj,12,3,53.27639664957119,10,MLP,"{'embed_size': 64, 'hidden_size': 64, 'num_layers': 4, 'encoder_attn': False}",20,3,False,1000,4,1,3,4,10
18,nyzxtneaxm,12,3,40.55912182837444,12,MLP,"{'embed_size': 64, 'hidden_size': 64, 'num_layers': 4, 'encoder_attn': False}",20,3,False,1000,4,1,3,4,10
19,llsktgeqln,12,3,46.42925012653691,18,TFR,"{'embed_size': 64, 'hidden_size': 64, 'num_layers': 4, 'encoder_attn': False}",20,3,False,1000,4,1,3,4,10
20,zqmxjwgsaq,12,3,52.62727967711457,14,GRU,"{'embed_size': 64, 'hidden_size': 64, 'num_layers': 4, 'encoder_attn': False}",20,3,False,1000,4,1,3,4,10
21,exebboifsm,12,3,51.37988507835128,13,GRU,"{'embed_size': 64, 'hidden_size': 64, 'num_layers': 4, 'encoder_attn': False}",20,3,False,1000,4,1,3,4,10
22,vcorilmuod,12,3,47.606805859255154,17,MLP,"{'embed_size': 64, 'hidden_size': 64, 'num_layers': 4, 'encoder_attn': True}",20,3,True,1000,4,1,3,4,10
23,poyuehebug,12,3,48.88145769890471,17,GRU,"{'embed_size': 64, 'hidden_size': 64, 'num_layers': 4, 'encoder_attn': True}",20,3,True,1000,4,1,3,4,10
